sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample7-20rpm-60kx-7,7.366829e-03,6.507207e-01,1.540486e+00,-9.307499e-05,1.576902e-03,2.917359e-03,1.593218e-02,1.824071e-04,9.971461e-01,39,9.967070e-01,2.162662e-03
sample7-20rpm-60kx-8,7.459016e-03,6.524019e-01,1.531995e+00,-9.255672e-05,1.566494e-03,2.885114e-03,1.571849e-02,1.924223e-04,9.969339e-01,39,9.964622e-01,2.221239e-03
sample7-20rpm-60kx-9,2.212355e-03,-1.433851e+00,1.096924e+01,-9.065424e-05,1.516678e-03,3.256021e-03,1.607499e-02,1.244780e-03,9.804975e-01,39,9.774972e-01,5.649552e-03
sample7-20rpm-60kx,7.294662e-03,-6.700031e-01,8.028010e+00,-9.774832e-05,1.673909e-03,2.466155e-03,1.585218e-02,2.674834e-04,9.958707e-01,39,9.952354e-01,2.618883e-03
sample8-195rpm-60kx-10,8.301204e-03,6.829900e-01,8.713742e-01,-1.426295e-04,2.470602e-03,9.782381e-04,1.654766e-02,1.003272e-03,9.904483e-01,39,9.889788e-01,5.071975e-03
sample8-195rpm-60kx-1,7.297055e-03,6.683687e-01,1.359525e+00,-1.028972e-04,1.767507e-03,2.601226e-03,1.648078e-02,2.372952e-04,9.967424e-01,39,9.962412e-01,2.466676e-03
sample8-195rpm-60kx-2,6.562308e-03,6.735358e-01,1.338260e+00,-1.045407e-04,1.816945e-03,2.508533e-03,1.780917e-02,3.586885e-04,9.953258e-01,39,9.946067e-01,3.032679e-03
sample8-195rpm-60kx-3,7.075757e-03,6.908648e-01,1.199067e+00,-1.077774e-04,1.875568e-03,2.096877e-03,1.687982e-02,3.452458e-04,9.954147e-01,39,9.947093e-01,2.975308e-03
sample8-195rpm-60kx-4,7.000066e-03,7.532988e-01,7.522284e-01,-1.199340e-04,2.150428e-03,1.076240e-03,1.872106e-02,9.392794e-04,9.894962e-01,39,9.878803e-01,4.907554e-03
sample8-195rpm-60kx-5,6.850208e-03,6.536338e-01,1.489124e+00,-9.957925e-05,1.706384e-03,2.770551e-03,1.700852e-02,2.378016e-04,9.966453e-01,39,9.961291e-01,2.469307e-03
sample8-195rpm-60kx-6,6.814737e-03,6.426875e-01,1.543510e+00,-1.017874e-04,1.739736e-03,2.958615e-03,1.739811e-02,2.555831e-04,9.966010e-01,39,9.960780e-01,2.559964e-03
sample8-195rpm-60kx-7,6.416564e-03,6.721681e-01,1.327889e+00,-1.073318e-04,1.870162e-03,2.620973e-03,1.843488e-02,4.234509e-04,9.948671e-01,39,9.940774e-01,3.295105e-03
sample8-195rpm-60kx-8,6.301910e-03,6.802086e-01,1.276557e+00,-1.071602e-04,1.874148e-03,2.525344e-03,1.861395e-02,4.700950e-04,9.942820e-01,39,9.934023e-01,3.471846e-03
sample8-195rpm-60kx-9,6.937973e-03,7.482205e-01,7.651804e-01,-1.208358e-04,2.164178e-03,1.412958e-03,1.929295e-02,8.190149e-04,9.913178e-01,39,9.899821e-01,4.582617e-03
sample8-20rpm-60kx-10,8.005029e-03,-6.917108e-01,8.275149e+00,-1.112210e-04,1.916279e-03,1.577041e-03,1.476916e-02,7.186645e-04,9.897608e-01,39,9.881856e-01,4.292702e-03
sample8-20rpm-60kx-1,7.575016e-03,6.542783e-01,1.484260e+00,-9.638629e-05,1.634012e-03,2.925088e-03,1.585636e-02,2.089748e-04,9.969007e-01,39,9.964239e-01,2.314806e-03
sample8-20rpm-60kx-2a,-2.968621e-03,-1.105681e+00,9.479504e+00,-9.192490e-05,1.546963e-03,3.164486e-03,1.598489e-02,1.224669e-03,9.811084e-01,39,9.782020e-01,5.603727e-03
sample8-20rpm-60kx-2b,-1.957107e-03,1.734806e+00,-2.633164e+00,-8.898333e-05,1.466853e-03,3.424595e-03,1.509402e-02,1.621883e-03,9.737465e-01,39,9.697075e-01,6.448778e-03
sample8-20rpm-60kx-3,7.201893e-03,6.997781e-01,1.165733e+00,-1.057773e-04,1.841987e-03,1.797454e-03,1.622255e-02,4.302210e-04,9.938133e-01,39,9.928615e-01,3.321341e-03
sample8-20rpm-60kx-4,-2.924114e-03,-1.106449e+00,9.497742e+00,-9.007699e-05,1.513929e-03,3.132859e-03,1.591846e-02,1.199565e-03,9.807909e-01,39,9.778357e-01,5.545997e-03
sample8-20rpm-60kx-5,7.364048e-03,-6.816798e-01,8.120640e+00,-1.000462e-04,1.721942e-03,2.236343e-03,1.576691e-02,3.289847e-04,9.949815e-01,39,9.942094e-01,2.904394e-03
sample8-20rpm-60kx-6,7.475173e-03,7.066915e-01,1.087807e+00,-1.135878e-04,1.984972e-03,1.276339e-03,1.585410e-02,6.400539e-04,9.913015e-01,39,9.899633e-01,4.051128e-03
sample8-20rpm-60kx-7,7.623027e-03,6.855456e-01,1.247003e+00,-1.055394e-04,1.817435e-03,1.883777e-03,1.525278e-02,4.789775e-04,9.928552e-01,39,9.917560e-01,3.504493e-03
sample8-20rpm-60kx-8,1.118915e-03,2.082545e+00,8.166824e+00,-9.569055e-05,1.601300e-03,2.942000e-03,1.599756e-02,1.227986e-03,9.806235e-01,39,9.776425e-01,5.611312e-03
sample8-20rpm-60kx-9,6.865681e-03,6.727628e-01,1.372319e+00,-9.958288e-05,1.718300e-03,2.406236e-03,1.666921e-02,2.613964e-04,9.961414e-01,39,9.955478e-01,2.588913e-03
sample9-195rpm-60kx-10,6.570143e-03,6.416933e-01,1.545055e+00,-1.032901e-04,1.771362e-03,2.876834e-03,1.773229e-02,3.246367e-04,9.957536e-01,39,9.951004e-01,2.885138e-03
sample9-195rpm-60kx-11,6.713253e-03,6.550434e-01,1.477111e+00,-1.005049e-04,1.726975e-03,2.714536e-03,1.724281e-02,2.645116e-04,9.963142e-01,39,9.957472e-01,2.604294e-03
sample9-195rpm-60kx-13,6.707584e-03,6.454637e-01,1.533573e+00,-1.010966e-04,1.731249e-03,2.858365e-03,1.737427e-02,2.704279e-04,9.963198e-01,39,9.957536e-01,2.633258e-03
sample9-195rpm-60kx-2,6.977047e-03,6.593970e-01,1.459007e+00,-9.846774e-05,1.687392e-03,2.677277e-03,1.667033e-02,2.200020e-04,9.967864e-01,39,9.962921e-01,2.375095e-03
sample9-195rpm-60kx-2b,7.019702e-03,6.579179e-01,1.468248e+00,-9.822326e-05,1.681082e-03,2.711513e-03,1.660881e-02,2.116231e-04,9.969047e-01,39,9.964285e-01,2.329428e-03
sample9-195rpm-60kx-2c,-2.649661e-04,1.837921e-01,2.423818e+00,-8.309399e-05,1.476128e-03,3.028899e-03,2.016810e-02,1.462341e-03,9.801270e-01,39,9.770697e-01,6.123390e-03
sample9-195rpm-60kx-3,6.896438e-03,6.370467e-01,1.581564e+00,-1.004302e-04,1.709571e-03,3.050956e-03,1.722050e-02,2.286332e-04,9.969126e-01,39,9.964376e-01,2.421237e-03
