input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,input23,input24,input25,output1,output2,output3,output4,output5,output6,output7
1.413502e-01,1.259117e-01,1.240250e-01,9.562435e-02,8.553226e-02,7.215413e-02,6.802942e-02,6.535871e-02,5.307571e-02,5.272852e-02,5.040470e-02,4.609164e-02,4.280264e-02,4.259887e-02,3.864865e-02,3.560617e-02,3.424382e-02,3.218180e-02,3.073084e-02,3.005154e-02,2.844447e-02,2.744463e-02,2.644832e-02,2.639036e-02,5.272852e-02,9.349515e-08,-2.754380e-06,1.571757e-05,3.853590e-05,6.331028e-04,1.629058e-03,2.161329e-02
2.235324e-01,1.433159e-01,8.594843e-02,5.415598e-02,3.873214e-02,3.740496e-02,3.600043e-02,3.156873e-02,2.850202e-02,2.447699e-02,2.294994e-02,2.202527e-02,1.994554e-02,1.935121e-02,1.574334e-02,1.472444e-02,1.355054e-02,1.156247e-02,1.016549e-02,1.001945e-02,8.944020e-03,8.595691e-03,8.198124e-03,7.884053e-03,2.447699e-02,1.198041e-07,-3.514106e-06,2.182357e-05,4.146951e-05,4.505043e-04,1.676938e-03,2.165356e-02
1.982250e-01,1.495698e-01,1.255372e-01,9.990139e-02,5.217812e-02,5.045527e-02,4.626619e-02,4.515847e-02,3.680792e-02,3.264749e-02,3.203248e-02,2.760449e-02,2.532472e-02,2.393849e-02,2.364945e-02,2.110379e-02,2.028409e-02,1.857563e-02,1.846213e-02,1.749456e-02,1.689341e-02,1.656262e-02,1.466796e-02,1.414870e-02,3.264749e-02,9.151678e-08,-2.736989e-06,1.659617e-05,2.636425e-05,6.469988e-04,1.589003e-03,2.112977e-02
3.551635e-01,3.147762e-01,2.597923e-01,2.333458e-01,1.999470e-01,1.807638e-01,1.672134e-01,1.361694e-01,1.334326e-01,1.206482e-01,1.154060e-01,1.113636e-01,9.959753e-02,9.266417e-02,9.088809e-02,8.961452e-02,8.475586e-02,8.118379e-02,8.007298e-02,7.598029e-02,7.055412e-02,6.817049e-02,6.587842e-02,6.430844e-02,1.206482e-01,3.702115e-08,-1.394684e-06,1.052471e-05,-4.388860e-05,1.277311e-03,2.020669e-03,2.144540e-02
2.363364e-01,1.962443e-01,1.801935e-01,1.618218e-01,1.531257e-01,1.316397e-01,1.203824e-01,1.105286e-01,1.013030e-01,9.216998e-02,8.634989e-02,7.866932e-02,7.102828e-02,6.897751e-02,6.782055e-02,6.207031e-02,5.964345e-02,5.613722e-02,5.599404e-02,5.401978e-02,5.302120e-02,4.956398e-02,4.798187e-02,4.619393e-02,9.216998e-02,3.109822e-08,-1.222734e-06,9.290706e-06,-4.596835e-05,1.300933e-03,1.888269e-03,2.110838e-02
2.881357e-01,2.241807e-01,1.501018e-01,1.109895e-01,8.718516e-02,8.317418e-02,8.137156e-02,6.589959e-02,5.773810e-02,5.161713e-02,4.886156e-02,4.775421e-02,3.931981e-02,3.246018e-02,3.196321e-02,3.025501e-02,2.770567e-02,2.634982e-02,2.443316e-02,2.413464e-02,2.272102e-02,2.159581e-02,2.048143e-02,2.015294e-02,5.161713e-02,8.890145e-08,-2.625878e-06,1.483066e-05,3.680344e-05,6.525524e-04,1.603201e-03,2.142302e-02
3.218716e-01,1.088568e-01,1.078292e-01,9.938206e-02,8.890657e-02,6.689656e-02,5.689226e-02,5.107671e-02,4.776878e-02,4.630218e-02,4.165899e-02,3.874192e-02,3.206535e-02,3.125649e-02,2.897935e-02,2.863996e-02,2.793870e-02,2.635105e-02,2.364631e-02,2.156180e-02,2.041855e-02,1.950943e-02,1.906194e-02,1.887534e-02,4.630218e-02,9.743113e-08,-2.821523e-06,1.530857e-05,5.185329e-05,5.546901e-04,1.543482e-03,2.153364e-02
2.023794e-01,1.118296e-01,9.882987e-02,8.840151e-02,8.697742e-02,8.361758e-02,6.782151e-02,6.727419e-02,5.642024e-02,5.363739e-02,5.224937e-02,4.610454e-02,4.519614e-02,4.116070e-02,3.767995e-02,3.526958e-02,2.836511e-02,2.515171e-02,2.339548e-02,2.239750e-02,2.127154e-02,2.048557e-02,1.882299e-02,1.814766e-02,5.363739e-02,8.785470e-08,-2.592938e-06,1.448429e-05,3.748031e-05,6.637215e-04,1.611614e-03,2.149632e-02
1.565587e-01,1.066163e-01,8.746286e-02,8.345613e-02,6.333856e-02,5.771402e-02,5.408065e-02,4.608066e-02,4.109005e-02,4.025317e-02,3.970286e-02,3.810154e-02,3.589404e-02,2.959269e-02,2.937917e-02,2.661914e-02,2.247027e-02,2.172272e-02,2.087356e-02,1.836593e-02,1.819319e-02,1.720931e-02,1.597018e-02,1.538518e-02,4.025317e-02,9.436713e-08,-2.778288e-06,1.595999e-05,3.900703e-05,6.026285e-04,1.592573e-03,2.136302e-02
1.791829e-01,1.388031e-01,1.129269e-01,1.072371e-01,1.010100e-01,9.860950e-02,8.378894e-02,7.942532e-02,7.292878e-02,6.772635e-02,6.565687e-02,6.387320e-02,6.168202e-02,5.833520e-02,5.538240e-02,5.271044e-02,5.174026e-02,5.108515e-02,4.938864e-02,4.544174e-02,4.415170e-02,4.170126e-02,4.150817e-02,4.020611e-02,6.772635e-02,4.116385e-08,-1.432352e-06,9.041671e-06,-2.110971e-05,1.199882e-03,1.894879e-03,2.174025e-02
