sample_name,a1,a2,a3,a4,a5,a6,a7,SSE,R_square,DFE,adj_R_square,RMSE
sample7-20rpm-60kx-3,8.562297e-08,-2.510781e-06,1.345520e-05,4.194752e-05,6.653749e-04,1.568631e-03,2.151279e-02,3.091017e-04,9.950992e-01,39,9.943452e-01,2.815259e-03
sample7-20rpm-60kx-5,9.225914e-08,-2.678248e-06,1.425447e-05,5.014961e-05,5.942168e-04,1.569968e-03,2.155590e-02,2.896890e-04,9.953339e-01,39,9.946160e-01,2.725422e-03
sample7-20rpm-60kx-6,8.720507e-08,-2.544175e-06,1.336706e-05,4.651824e-05,6.528765e-04,1.619263e-03,2.170837e-02,2.933875e-04,9.954668e-01,39,9.947694e-01,2.742765e-03
sample7-20rpm-60kx-7,8.446489e-08,-2.472781e-06,1.301461e-05,4.346032e-05,6.735047e-04,1.585772e-03,2.159287e-02,3.037740e-04,9.952472e-01,39,9.945160e-01,2.790892e-03
sample7-20rpm-60kx-8,9.035201e-08,-2.623809e-06,1.382391e-05,4.937229e-05,6.171698e-04,1.560608e-03,2.162579e-02,2.797843e-04,9.955419e-01,39,9.948561e-01,2.678424e-03
sample7-20rpm-60kx-9,9.337046e-08,-2.715298e-06,1.459574e-05,4.928015e-05,6.016561e-04,1.618411e-03,2.170385e-02,2.850751e-04,9.955336e-01,39,9.948465e-01,2.703631e-03
sample7-20rpm-60kx,8.021663e-08,-2.427753e-06,1.440097e-05,2.066693e-05,7.550870e-04,1.643151e-03,2.129516e-02,4.123332e-04,9.936345e-01,39,9.926552e-01,3.251560e-03
sample8-195rpm-60kx-10,3.875947e-08,-1.716966e-06,1.894605e-05,-1.217627e-04,1.531028e-03,2.396038e-03,2.137831e-02,1.209861e-03,9.884815e-01,39,9.867094e-01,5.569747e-03
sample8-195rpm-60kx-1,7.567194e-08,-2.333283e-06,1.421941e-05,1.065416e-05,8.650312e-04,1.811405e-03,2.181514e-02,4.013675e-04,9.944899e-01,39,9.936422e-01,3.208033e-03
sample8-195rpm-60kx-2,3.618662e-08,-1.323993e-06,9.093930e-06,-3.226679e-05,1.231365e-03,1.824894e-03,2.125621e-02,6.701858e-04,9.912666e-01,39,9.899230e-01,4.145389e-03
sample8-195rpm-60kx-3,5.553935e-08,-1.880675e-06,1.353406e-05,-2.937370e-05,1.089600e-03,1.850923e-03,2.122446e-02,6.322205e-04,9.916033e-01,39,9.903115e-01,4.026262e-03
sample8-195rpm-60kx-4,-1.222112e-08,-2.796608e-07,8.739758e-06,-1.413325e-04,1.820682e-03,1.960899e-03,1.984947e-02,1.575379e-03,9.823828e-01,39,9.796725e-01,6.355653e-03
sample8-195rpm-60kx-5,5.482185e-08,-1.750460e-06,1.011388e-05,1.468149e-06,1.003853e-03,1.708199e-03,2.141424e-02,4.783307e-04,9.932520e-01,39,9.922139e-01,3.502126e-03
