sample_name,a1,a2,a3,a4,a5,a6,a7,a8,SSE,R_square,DFE,adj_R_square,RMSE
sample12-20rpm-60kx-6,1.112060e-08,-1.786476e-07,-1.907984e-06,3.458337e-05,-5.355708e-05,3.123885e-04,2.678569e-03,2.226608e-02,2.847652e-04,9.953939e-01,38,9.945454e-01,2.737484e-03
sample12-20rpm-60kx-7,1.053838e-08,-1.631738e-07,-1.966781e-06,3.323973e-05,-4.266879e-05,3.084058e-04,2.609889e-03,2.232639e-02,2.589247e-04,9.958048e-01,38,9.950319e-01,2.610327e-03
sample7-195rpm-60kx-10,1.625577e-08,-3.194410e-07,-1.258287e-06,4.506211e-05,-1.488834e-04,4.349026e-04,3.352871e-03,2.239425e-02,4.545262e-04,9.935806e-01,38,9.923981e-01,3.458499e-03
sample7-195rpm-60kx-11,1.622067e-08,-3.381812e-07,-5.985302e-07,3.749812e-05,-1.234054e-04,5.161901e-04,3.252839e-03,2.278316e-02,2.770744e-04,9.960128e-01,38,9.952783e-01,2.700265e-03
sample7-195rpm-60kx-1,1.287517e-08,-2.350942e-07,-1.407073e-06,3.503845e-05,-7.611978e-05,3.945057e-04,2.885222e-03,2.251597e-02,2.642414e-04,9.959382e-01,38,9.951899e-01,2.636991e-03
sample7-195rpm-60kx-2,1.427831e-08,-2.768387e-07,-1.117323e-06,3.668085e-05,-9.804829e-05,4.272915e-04,2.997047e-03,2.243158e-02,2.886147e-04,9.955575e-01,38,9.947392e-01,2.755925e-03
sample7-195rpm-60kx-3,1.534040e-08,-3.063421e-07,-9.702843e-07,3.874108e-05,-1.175655e-04,4.497131e-04,3.115769e-03,2.239191e-02,3.210563e-04,9.951219e-01,38,9.942233e-01,2.906690e-03
sample7-195rpm-60kx-4,1.138335e-08,-1.903848e-07,-1.722693e-06,3.342999e-05,-5.297180e-05,3.358284e-04,2.683847e-03,2.232640e-02,2.573309e-04,9.958514e-01,38,9.950872e-01,2.602281e-03
sample7-195rpm-60kx-5,1.623614e-08,-3.282594e-07,-9.420722e-07,4.145613e-05,-1.359207e-04,4.475965e-04,3.250751e-03,2.230584e-02,3.867297e-04,9.942069e-01,38,9.931398e-01,3.190156e-03
sample7-195rpm-60kx-6,1.365794e-08,-2.552228e-07,-1.350688e-06,3.715767e-05,-9.207600e-05,3.893222e-04,2.941164e-03,2.229389e-02,3.111507e-04,9.951254e-01,38,9.942275e-01,2.861499e-03
sample7-195rpm-60kx-7,1.511569e-08,-2.988231e-07,-1.042629e-06,3.870562e-05,-1.140670e-04,4.382733e-04,3.121008e-03,2.241990e-02,3.266472e-04,9.950584e-01,38,9.941482e-01,2.931890e-03
sample7-195rpm-60kx-8,1.325964e-08,-2.469922e-07,-1.310111e-06,3.532869e-05,-8.143076e-05,3.905307e-04,2.860526e-03,2.231961e-02,2.774056e-04,9.955960e-01,38,9.947847e-01,2.701879e-03
sample7-195rpm-60kx-9,1.817079e-08,-3.855062e-07,-5.578579e-07,4.395942e-05,-1.683031e-04,5.092031e-04,3.422531e-03,2.229776e-02,4.153713e-04,9.939300e-01,38,9.928118e-01,3.306180e-03
sample7-20rpm-60kx-10,7.422977e-09,-7.485039e-08,-2.470851e-06,2.824228e-05,8.176099e-06,2.611781e-04,2.277178e-03,2.248519e-02,1.778161e-04,9.971057e-01,38,9.965725e-01,2.163185e-03
sample7-20rpm-60kx-11,1.126099e-08,-1.890210e-07,-1.672993e-06,3.237555e-05,-4.810552e-05,3.615839e-04,2.718923e-03,2.262372e-02,2.269310e-04,9.964970e-01,38,9.958517e-01,2.443741e-03
sample7-20rpm-60kx-2,9.215227e-09,-1.275665e-07,-2.114819e-06,3.031770e-05,-1.780305e-05,2.943065e-04,2.468739e-03,2.245936e-02,2.115355e-04,9.965842e-01,38,9.959550e-01,2.359390e-03
sample7-20rpm-60kx-3,1.054904e-08,-1.694227e-07,-1.766913e-06,3.103415e-05,-3.591492e-05,3.429818e-04,2.594114e-03,2.252880e-02,2.097710e-04,9.966741e-01,38,9.960614e-01,2.349530e-03
sample7-20rpm-60kx-5,9.510254e-09,-1.376716e-07,-2.007630e-06,3.010238e-05,-2.004554e-05,3.035705e-04,2.494470e-03,2.247186e-02,2.089577e-04,9.966342e-01,38,9.960142e-01,2.344971e-03
sample7-20rpm-60kx-6,1.018091e-08,-1.589402e-07,-1.826266e-06,3.033254e-05,-2.862701e-05,3.417341e-04,2.608960e-03,2.268893e-02,2.008686e-04,9.968963e-01,38,9.963246e-01,2.299134e-03
sample7-20rpm-60kx-7,1.058894e-08,-1.715455e-07,-1.726099e-06,3.066004e-05,-3.469663e-05,3.498922e-04,2.615135e-03,2.261273e-02,2.036905e-04,9.968131e-01,38,9.962260e-01,2.315227e-03
sample7-20rpm-60kx-8,9.660264e-09,-1.432056e-07,-1.942613e-06,2.992179e-05,-2.193009e-05,3.219389e-04,2.499693e-03,2.255620e-02,1.964861e-04,9.968692e-01,38,9.962925e-01,2.273914e-03
sample7-20rpm-60kx-9,9.448972e-09,-1.350787e-07,-2.049001e-06,3.034153e-05,-2.046269e-05,3.128826e-04,2.536956e-03,2.261391e-02,2.053809e-04,9.967822e-01,38,9.961895e-01,2.324814e-03
sample7-20rpm-60kx,1.246875e-08,-2.212422e-07,-1.548516e-06,3.517892e-05,-7.136490e-05,3.740249e-04,2.855252e-03,2.249606e-02,2.735606e-04,9.957768e-01,38,9.949989e-01,2.683088e-03
sample8-195rpm-60kx-10,2.499406e-08,-5.655254e-07,4.549635e-08,6.059619e-05,-3.062438e-04,7.671757e-04,4.825736e-03,2.378556e-02,6.522507e-04,9.937902e-01,38,9.926463e-01,4.143005e-03
