w1,w2,w3,w4,w5,w6,fval
8.522983e-01,9.856729e-01,1.017502e+00,1.074715e+00,1.030792e+00,1.049074e+00,9.279035e-11
1.159790e+00,1.067376e+00,9.386891e-01,9.612267e-01,9.391551e-01,9.786485e-01,1.773920e-10
8.532843e-01,9.863673e-01,1.014316e+00,1.070751e+00,1.035833e+00,1.047310e+00,3.437737e-10
1.161187e+00,1.055676e+00,9.551195e-01,9.542701e-01,9.399817e-01,9.869259e-01,6.558446e-11
8.544574e-01,9.912605e-01,1.013694e+00,1.072080e+00,1.032710e+00,1.045730e+00,4.240019e-10
1.163111e+00,1.053992e+00,9.466070e-01,9.624323e-01,9.860231e-01,9.368827e-01,8.768596e-12
8.558943e-01,9.976931e-01,1.005550e+00,1.071148e+00,1.049690e+00,1.033188e+00,5.497412e-10
1.165130e+00,9.478967e-01,1.057013e+00,9.612466e-01,9.870722e-01,9.349908e-01,1.714647e-11
8.575888e-01,1.019950e+00,9.897456e-01,1.073721e+00,1.046264e+00,1.034746e+00,1.778153e-10
1.167603e+00,9.489383e-01,1.057688e+00,9.603372e-01,9.906389e-01,9.335424e-01,2.536445e-10
8.593746e-01,1.013694e+00,1.003213e+00,1.065493e+00,1.042630e+00,1.043282e+00,5.469396e-10
1.170572e+00,9.465373e-01,1.060462e+00,9.601681e-01,9.929294e-01,9.344991e-01,3.319382e-11
8.617191e-01,1.024614e+00,9.896781e-01,1.063669e+00,1.047717e+00,1.034824e+00,1.345148e-09
1.173888e+00,9.476882e-01,1.063015e+00,9.563702e-01,1.000053e+00,9.332405e-01,2.871087e-11
8.648341e-01,1.020773e+00,9.864201e-01,1.033284e+00,1.044158e+00,1.073602e+00,1.313578e-09
1.177934e+00,9.432425e-01,1.073207e+00,9.284014e-01,9.996751e-01,9.583050e-01,5.481105e-11
8.673758e-01,1.004576e+00,1.005311e+00,1.050234e+00,1.040542e+00,1.053913e+00,6.862739e-10
1.182131e+00,9.365479e-01,1.080884e+00,9.199482e-01,1.003087e+00,9.606264e-01,1.021210e-10
8.708542e-01,1.007178e+00,1.004554e+00,1.047205e+00,1.036047e+00,1.054590e+00,6.721567e-10
1.185110e+00,9.130552e-01,1.089044e+00,9.700035e-01,9.543158e-01,9.250022e-01,1.480462e-11
8.741446e-01,1.008406e+00,1.006720e+00,1.050439e+00,1.034920e+00,1.053979e+00,7.650688e-10
1.189586e+00,1.082185e+00,1.023678e+00,9.458155e-01,1.008801e+00,9.058968e-01,3.205210e-13
8.776687e-01,1.012858e+00,1.010432e+00,1.033045e+00,1.038547e+00,1.063619e+00,9.541453e-10
1.190651e+00,1.086096e+00,1.028866e+00,9.410960e-01,1.002619e+00,8.928589e-01,1.387852e-10
8.821063e-01,1.011457e+00,1.005741e+00,1.037583e+00,1.036135e+00,1.060161e+00,5.942744e-10
1.191731e+00,1.091243e+00,1.039652e+00,9.674985e-01,9.597279e-01,8.956174e-01,1.949191e-10
8.882972e-01,1.010815e+00,9.974592e-01,1.032215e+00,1.035228e+00,1.064885e+00,4.902522e-11
